GO biological process complete,#,#,expected,Fold Enrichment,+/-,raw P value,FDR
iron ion transmembrane transport,17,10,1.17,8.55,+,3.42E-06,4.56E-04
siderophore transport,11,6,0.76,7.93,+,4.61E-04,2.39E-02
copper ion import,11,6,0.76,7.93,+,4.61E-04,2.36E-02
ergosterol biosynthetic process,24,10,1.65,6.06,+,3.53E-05,3.31E-03
cellular iron ion homeostasis,50,19,3.44,5.53,+,3.54E-08,9.45E-06
cysteine metabolic process,22,8,1.51,5.29,+,4.57E-04,2.39E-02
cellular oxidant detoxification,34,10,2.34,4.28,+,3.74E-04,2.06E-02
methionine biosynthetic process,38,10,2.61,3.83,+,7.81E-04,3.69E-02
cellular response to oxidative stress,109,21,7.5,2.8,+,7.26E-05,5.38E-03
cellular response to nutrient levels,115,20,7.91,2.53,+,4.72E-04,2.40E-02
oxidation-reduction process,441,69,30.33,2.28,+,1.27E-09,5.66E-07
