chrI	12680	12727	1	1	1	0	2	24
chrI	76545	77051	1	1	1	1	0	15
chrI	87388	87500	1	1	1	50	0	23
chrI	142254	142619	1	1	1	367	0	24
chrI	151007	151096	2	2	1	4	0	24
chrI	206113	206382	1	1	1	1	2	17
chrII	45645	45977	1	1	1	33	0	23
chrII	60194	60697	2	2	1	47	0	24
chrII	88757	88914	2	2	1	0	237	16
chrII	110421	110505	2	2	1	4	0	23
chrII	110880	110948	1	1	1	2	0	16
chrII	125155	125270	1	1	1	14	0	23
chrII	142750	142846	2	2	1	1	0	20
chrII	168425	168808	1	1	1	4	0	25
chrII	170677	170757	1	1	1	1	0	24
chrII	170677	170804	1	1	1	70	0	25
chrII	170677	170844	1	1	1	1	0	18
chrII	186353	186427	2	2	1	3	0	25
chrII	332876	333386	1	1	1	235	0	24
chrII	342699	342789	1	1	1	1	0	15
chrII	366503	366584	2	2	1	1	0	22
chrII	393181	393507	1	1	1	4	0	24
chrII	393181	393510	1	1	1	139	0	25
chrII	407026	407122	2	2	1	1	0	23
chrII	407028	407122	2	2	1	80	0	24
chrII	414754	415259	2	2	1	4	0	12
chrII	426517	426630	2	2	1	2	0	24
chrII	427999	429776	1	1	1	1	4	15
chrII	462210	462289	1	1	1	16	0	24
chrII	462430	462499	1	1	1	40	5	24
chrII	464130	464237	2	4	1	1	6	25
chrII	479346	479434	1	1	1	1	0	16
chrII	592417	592768	2	2	1	1	0	15
chrII	604515	604927	1	1	1	19	0	21
chrII	606281	606668	1	1	1	15	0	24
chrII	612445	613815	2	2	1	1	0	24
chrII	613513	613815	2	2	1	1	0	12
chrII	726918	727011	2	2	1	3	0	19
chrIII	83597	84168	1	1	1	1	0	19
chrIII	101634	101700	2	2	1	9	0	22
chrIII	107192	107287	1	1	1	86	0	23
chrIII	111558	111633	2	2	1	4	0	23
chrIII	173116	173198	2	2	1	30	0	24
chrIII	177594	177630	2	2	1	1	13	14
chrIII	293940	293993	1	1	1	8	0	15
chrIII	293940	294007	1	1	1	1	0	19
chrIII	294240	294291	1	1	1	9	0	20
chrIV	65307	65377	1	1	1	1	0	21
chrIV	117667	118157	1	1	1	10	0	22
chrIV	122078	122176	1	1	1	7	0	22
chrIV	216158	216489	1	1	1	35	0	20
chrIV	216158	216504	1	1	1	1	0	14
chrIV	217603	218007	1	1	1	20	0	24
chrIV	230020	230320	1	1	1	1369	0	25
chrIV	239399	239509	2	2	1	38	0	24
chrIV	254975	255044	2	2	1	11	0	22
chrIV	267726	267806	1	1	1	2	0	19
chrIV	307334	307765	2	2	1	19	0	24
chrIV	308428	308792	1	1	1	3	0	21
chrIV	314045	314336	2	2	1	3	0	22
chrIV	322283	322703	1	1	1	198	0	25
chrIV	337525	337634	1	1	1	9	0	20
chrIV	431387	431472	2	2	1	9	0	22
chrIV	438210	438307	1	1	1	1	0	12
chrIV	458018	458097	2	2	1	8	0	23
chrIV	491560	491898	1	1	1	251	0	24
chrIV	530121	530490	2	2	1	0	1	20
chrIV	534006	534375	2	2	1	0	1	20
chrIV	569634	569723	2	2	1	1	0	21
chrIV	579479	580017	1	1	1	41	0	24
chrIV	629906	630173	1	1	1	6	0	24
chrIV	652781	653523	1	1	1	4	0	17
chrIV	655204	655272	1	1	1	1	1	21
chrIV	676272	676405	1	1	1	2	0	18
chrIV	715248	715358	2	2	1	1	0	19
chrIV	733686	733775	2	2	1	2	0	23
chrIV	733703	733775	2	2	1	120	0	25
chrIV	764021	764382	2	2	1	1	0	15
chrIV	1103810	1103892	1	1	1	2	0	25
chrIV	1212878	1212978	1	1	1	2	0	23
chrIV	1236843	1237608	1	1	1	39	0	25
chrIV	1266770	1266861	2	2	1	30	0	18
chrIV	1307840	1308049	2	2	1	0	5	24
chrIV	1319618	1319697	2	2	1	8	0	21
chrIV	1319721	1319816	2	2	1	7	0	21
chrIV	1329636	1329677	1	1	1	4	22	23
